marks,question,subject,topic,weightage,email
1,"Define the term Harvard architecture.""""""""",Computer Science,Computer Architecture,2,thehitman@gmail.com
1,What is the purpose of the MDR (Memory Data Register)?,Computer Science,Computer Architecture,1,thehitman@gmail.com
1,Explain the concept of RISC (Reduced Instruction Set Computer).,Computer Science,Computer Architecture,3,thehitman@gmail.com
1,What is the role of the microprogram in a processor?,Computer Science,Computer Architecture,2,thehitman@gmail.com
1,"Define the term CISC (Complex Instruction Set Computer).""""""""",Computer Science,Computer Architecture,3,thehitman@gmail.com
1,What is the purpose of the cache controller in a CPU?,Computer Science,Computer Architecture,2,thehitman@gmail.com
1,Explain the concept of endianness in computer architecture.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the differences between a single-core and a multi-core processor.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,Explain the purpose and working of a branch predictor in computer architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,What is the role of the FPU (Floating-Point Unit) in a CPU?,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the principles and benefits of using pipelined architecture in CPUs.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,Explain the concept of the memory hierarchy in computer systems.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the differences between a synchronous and an asynchronous processor.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,Explain the purpose and working of the Memory Management Unit (MMU).,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Explain the concept of cache coherency in multiprocessor systems.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the differences between a fixed-point and a floating-point representation of numbers.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,Explain the purpose and use of branch instructions in CPU architectures.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the principles and benefits of using a superscalar processor.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,Explain the concept of cache mapping techniques such as direct-mapped and set-associative and fully associative.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the differences between little-endian and big-endian byte ordering.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,Explain the purpose and working of the virtual memory system in computer architecture.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the benefits and challenges of using a distributed database architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
2,Explain the differences between a synchronous and an asynchronous bus in computer architecture.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the principles and benefits of using a cache memory in computer systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Explain the working principles of the Fetch-Decode-Execute cycle in a CPU.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Discuss the differences between a Harvard architecture and a Von Neumann architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Explain the concept of the memory-mapped I/O (Input/Output) in computer systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the benefits and drawbacks of using a complex instruction set in computer architecture.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the purpose and working of the Translation Lookaside Buffer (TLB) in virtual memory systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the differences between a CISC (Complex Instruction Set Computer) and a RISC (Reduced Instruction Set Computer) processor.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the concept of cache write policies including write-through and write-back.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the benefits and challenges of using a speculative execution in a CPU.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the purpose and working of the Interrupt Request (IRQ) system in computer architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the differences between a single-level and a multi-level cache hierarchy.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the concept of a pipelined floating-point unit in a CPU.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the benefits and drawbacks of using a SIMD (Single Instruction Multiple Data) instruction set architecture.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the purpose and working of the Branch Target Buffer (BTB) in a CPU.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the differences between a synchronous and an asynchronous memory.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the concept of cache replacement policies such as LRU (Least Recently Used) and FIFO (First-In-First-Out).,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the principles and benefits of using a multi-threaded processor.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the purpose and use of the Translation Lookaside Buffer (TLB) in virtual memory systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the differences between a multi-core and a many-core processor.,Computer Science,Computer Architecture,5,thehitman@gmail.com
3,Explain the concept of cache coherence protocols such as MESI (Modified Exclusive Shared Invalid).,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,Discuss the principles and benefits of using a SIMD (Single Instruction Multiple Data) architecture for multimedia processing.,Computer Science,Computer Architecture,5,thehitman@gmail.com
4,Discuss the working principles of the memory hierarchy and its impact on computer system performance.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the differences between a pipelined and a non-pipelined processor design.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the benefits and challenges of using a multi-core processor architecture for parallel processing.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the concept of speculative execution and its role in enhancing CPU performance.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the differences between a scalar processor and a vector processor.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the purpose and working of the Memory Management Unit (MMU) for virtual memory management.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the benefits and drawbacks of using a cache memory in computer systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the concept of SIMD (Single Instruction Multiple Data) parallelism and its applications in computer architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the purpose and working of the Translation Lookaside Buffer (TLB) for virtual memory management.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the benefits and drawbacks of using a multi-level cache hierarchy in computer systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the concept of data hazards in pipelined processors and techniques to mitigate them.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the differences between a synchronous and an asynchronous memory bus.,Computer Science,Computer Architecture,3,thehitman@gmail.com
4,Explain the purpose and working of the Write Buffer in a CPU.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the principles and benefits of using a multi-threaded processor for concurrency.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the concept of branch prediction and its impact on CPU performance.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the differences between a Harvard architecture and a Modified Harvard architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the purpose and use of the Translation Lookaside Buffer (TLB) in virtual memory systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Discuss the benefits and drawbacks of using a speculative execution in a CPU.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the purpose and working of the MMU (Memory Management Unit) for virtual memory management.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the differences between a synchronous and an asynchronous memory bus in computer architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the concept of data hazards in pipelined processors and techniques to mitigate them.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the benefits and challenges of using a superscalar processor architecture.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the purpose and working of the Translation Lookaside Buffer (TLB) for virtual memory management.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the principles and benefits of using a multi-threaded processor for concurrency.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the concept of branch prediction and its impact on CPU performance.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the differences between a Harvard architecture and a Modified Harvard architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the purpose and use of the Translation Lookaside Buffer (TLB) in virtual memory systems.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the benefits and drawbacks of using a speculative execution in a CPU.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the differences between a scalar processor and a vector processor.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the purpose and working of the Memory Management Unit (MMU) for virtual memory management.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the differences between a synchronous and an asynchronous memory bus.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the concept of data hazards in pipelined processors and techniques to mitigate them.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the benefits and challenges of using a superscalar processor architecture.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the purpose and working of the Translation Lookaside Buffer (TLB) for virtual memory management.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the principles and benefits of using a multi-threaded processor for concurrency.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the concept of branch prediction and its impact on CPU performance.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the differences between a Harvard architecture and a Modified Harvard architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,What is the maximum value of destination port of TCP?,Computer Science,Networking,4,thehitman@gmail.com
4,Descride the OSI model?,Computer Science,Networking,3,thehitman@gmail.com
2,What are the differences between stack and queue?,Computer Science,Data Structures,4,thehitman@gmail.com
4,How does TCP handle flow control?,Computer Science,Networking,5,thehitman@gmail.com
4,Describe flow control in TCP?,Computer Science,Networking,5,thehitman@gmail.com
2,Compare and contrast the greedy and dynamic programming approaches.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Explain the divide and conquer strategy with an example.,Computer Science,Algorithms,3,thehitman@gmail.com
2,Describe the process of finding the kth smallest element in an unsorted array.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Compare the time complexities of quicksort and mergesort.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Implement the binary search algorithm and analyze its time complexity.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Discuss the key features of the Bellman-Ford algorithm for finding shortest paths.,Computer Science,Algorithms,5,thehitman@gmail.com
2,Explain the concept of a topological sort in directed acyclic graphs (DAGs).,Computer Science,Algorithms,4,thehitman@gmail.com
2,Compare and contrast the time complexities of recursive and iterative algorithms.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Describe the process of finding all possible subsets of a set using backtracking.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Implement Kruskal's algorithm to find the minimum spanning tree of a graph.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Discuss the principles of dynamic programming to solve a knapsack problem.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Explain the process of performing matrix multiplication using the Strassen algorithm.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Implement the insertion sort algorithm and analyze its time complexity.,Computer Science,Algorithms,3,thehitman@gmail.com
2,Describe the working principle of the Rabin-Karp algorithm for string matching.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Compare the time complexities of breadth-first search (BFS) and depth-first search (DFS).,Computer Science,Algorithms,3,thehitman@gmail.com
2,Discuss the applications and limitations of the Floyd-Warshall algorithm.,Computer Science,Algorithms,5,thehitman@gmail.com
2,Implement the selection sort algorithm and analyze its time complexity.,Computer Science,Algorithms,3,thehitman@gmail.com
2,Describe the process of constructing a suffix tree from a given string.,Computer Science,Algorithms,5,thehitman@gmail.com
2,Compare and contrast the time complexities of Dijkstra's and Prim's algorithms.,Computer Science,Algorithms,4,thehitman@gmail.com
2,Discuss the concept of randomized algorithms and their advantages.,Computer Science,Algorithms,5,thehitman@gmail.com
2,Explain the differences between local and global variables in programming.,Computer Science,Computer Programming,3,thehitman@gmail.com
2,Describe the purpose of pointers and their role in memory management.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Implement a function to reverse a linked list in-place.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Discuss the concept of function overloading and provide an example.,Computer Science,Computer Programming,3,thehitman@gmail.com
2,Compare and contrast pass-by-value and pass-by-reference in function arguments.,Computer Science,Computer Programming,3,thehitman@gmail.com
2,Implement a recursive function to calculate the factorial of a positive integer.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Describe the process of reading and writing binary files in C++.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Explain the concept of operator overloading with an example.,Computer Science,Computer Programming,3,thehitman@gmail.com
2,Implement a stack-based approach to check balanced parentheses in an expression.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Compare the advantages and disadvantages of using arrays and linked lists.,Computer Science,Computer Programming,3,thehitman@gmail.com
2,Describe the process of creating and using objects in object-oriented programming.,Computer Science,Computer Programming,3,thehitman@gmail.com
2,Implement a class for a basic calculator with add subtract multiply and divide operations.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Discuss the use of try-catch blocks for exception handling in programming.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,"Explain the purpose of the this"""" pointer in C++ and its application in classes.""""",Computer Science,Computer Programming,4,thehitman@gmail.com
2,Implement a function to merge two sorted arrays into a single sorted array.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Describe the working principle of inheritance in object-oriented programming with an example.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,Compare the advantages of using dynamic memory allocation over static memory allocation.,Computer Science,Computer Programming,3,thehitman@gmail.com
2,Implement a program to find the maximum and minimum elements in an array.,Computer Science,Computer Programming,4,thehitman@gmail.com
2,"Discuss the use of the const"""" keyword in C++ and its significance.""""",Computer Science,Computer Programming,3,thehitman@gmail.com
2,Implement a function to check whether a given string is a palindrome or not.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Explain the working of a doubly linked list and its advantages over a singly linked list.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Discuss the applications of a stack in real-world scenarios and its limitations.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Implement a binary search tree and perform the delete operation for a given node.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Describe the process of implementing a hash table with open addressing.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Explain the concept of AVL trees and how they maintain balanced height.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Implement the Floyd-Warshall algorithm to find all-pairs shortest paths in a graph.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Discuss the design and implementation of a trie-based autocomplete system.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Compare and contrast various collision resolution techniques in hashing.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Implement the Kruskal's algorithm with a union-find data structure for MST.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Explain the concept of tries and its use in dictionary-based applications.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Describe the working of a skip list and its efficiency in searching and insertion.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Implement a priority queue using a heap and demonstrate its time complexities.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Discuss the implementation of Dijkstra's algorithm using a min-priority queue.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Explain the concept of a B+ tree and its use in database indexing.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Compare and contrast the adjacency matrix and adjacency list representations of a graph.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Implement the operations of push pop and min in an efficient min-stack.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Describe the working principle of a bloom filter and analyze its false positive rate.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Discuss the implementation of an LRU cache using a doubly linked list and a hash map.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Explain the concept of a disjoint-set data structure with the union-by-rank and path compression.,Computer Science,Data Structures,5,thehitman@gmail.com
3,Implement a circular buffer with dynamic resizing and demonstrate its usage.,Computer Science,Data Structures,4,thehitman@gmail.com
3,Compare the time and space complexity of iterative and recursive algorithms.,Computer Science,Algorithms,4,thehitman@gmail.com
3,Describe the process of applying the master theorem to analyze divide-and-conquer algorithms.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Implement the Karatsuba algorithm for efficient multiplication of large integers.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Explain the concept of memoization and its use in optimizing recursive algorithms.,Computer Science,Algorithms,4,thehitman@gmail.com
3,Discuss the working of the A* search algorithm and its heuristic function.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Implement the Ford-Fulkerson algorithm for finding the maximum flow in a network.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Describe the process of constructing a suffix array and its applications.,Computer Science,Algorithms,4,thehitman@gmail.com
3,Discuss the design and working of randomized quicksort and its expected time complexity.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Implement the Boyer-Moore algorithm for string searching and analyze its performance.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Explain the concept of matrix chain multiplication and its dynamic programming solution.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Discuss the concept of NP-hard problems and the relationship with polynomial-time reductions.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Implement the traveling salesman problem (TSP) using the branch-and-bound algorithm.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Describe the principles of the Rabin-Karp algorithm for multiple pattern string matching.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Discuss the working of the Karger's algorithm for finding the minimum cut in a graph.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Implement the Boyer-Moore-Horspool algorithm for substring searching and analyze its efficiency.,Computer Science,Algorithms,4,thehitman@gmail.com
3,Explain the concept of the K-d tree and its use in multidimensional search structures.,Computer Science,Algorithms,4,thehitman@gmail.com
3,Discuss the principles of the Bresenham's line drawing algorithm with an example.,Computer Science,Algorithms,4,thehitman@gmail.com
3,Implement the Topological Sort algorithm for a directed acyclic graph (DAG).,Computer Science,Algorithms,4,thehitman@gmail.com
3,Explain the process of converting a regular expression to a non-deterministic finite automaton (NFA).,Computer Science,Algorithms,4,thehitman@gmail.com
3,Implement the Knuth-Morris-Pratt algorithm for pattern matching and analyze its time complexity.,Computer Science,Algorithms,5,thehitman@gmail.com
3,Discuss the benefits and challenges of using recursion in programming.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Implement a function to find the GCD (Greatest Common Divisor) of two numbers using Euclid's algorithm.,Computer Science,Computer Programming,5,thehitman@gmail.com
3,Describe the working principle of a doubly linked list and demonstrate its usage.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Discuss the importance of exception handling in error-prone situations.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Implement a binary search function in Python and analyze its time complexity.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Explain the concept of inheritance in object-oriented programming with real-world examples.,Computer Science,Computer Programming,5,thehitman@gmail.com
3,"Discuss the role of the const"""" keyword in C++ and its use in member functions.""""",Computer Science,Computer Programming,4,thehitman@gmail.com
3,Implement a function to reverse a string using recursion and analyze its efficiency.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Describe the process of reading and writing CSV files in Python.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Explain the concept of operator overloading with multiple examples in C++.,Computer Science,Computer Programming,5,thehitman@gmail.com
3,Discuss the differences between abstract classes and interfaces in Java.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Implement a function to find the factorial of a non-negative integer using iteration.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Describe the principles of method overloading in object-oriented programming.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Discuss the use of pointers to create dynamic arrays in C.,Computer Science,Computer Programming,5,thehitman@gmail.com
3,Implement a program to sort an array using the insertion sort algorithm.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Explain the process of implementing a stack using a linked list in C.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Discuss the importance of data validation and sanitization in programming.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Implement a function to check if a given string is an anagram or not.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,Describe the working of a binary search tree (BST) and its operations.,Computer Science,Computer Programming,5,thehitman@gmail.com
3,Implement a program to find the factorial of a number using recursion in Python.,Computer Science,Computer Programming,4,thehitman@gmail.com

